LC3,LC4,MAP,MAT,JJAMAP,DJFMAP,LONG,LAT,X,Y
-0.124938737,-1,199,12.4,0.12,0.45,119.55,46.4,-1687626.43,966783.2014
-0.124938737,-1,469,7.5,0.24,0.29,114.27,47.32,-1293849.417,989714.1973
-0.065501549,-0.958607315,536,7.2,0.24,0.2,110.78,45.78,-1077168.04,766998.2281
-0.070581074,-0.552841969,476,8.2,0.35,0.15,101.87,43.95,-442652.2629,480307.3117
-0.366531544,-0.420216403,484,4.8,0.4,0.14,102.82,46.9,-489126.0102,832698.8023
-0.886056648,-0.031517051,623,12,0.4,0.11,99.38,38.87,-276373.4449,-128281.3289
-1,-0.387216143,259,14.5,0.47,0.17,106.75,32.62,-960133.9315,-810735.3698
-0.920818754,-0.013228266,969,15.3,0.3,0.14,96.55,36.95,-46291.59853,-358922.7155
-0.823908741,-0.086186148,542,13.9,0.44,0.13,101.53,35.3,-476459.0608,-538624.3556
-0.823908741,-0.26760624,421,8.5,0.31,0.14,104.6,40.82,-681548.8366,127703.6028
-0.337242168,-0.292429824,446,5.1,0.41,0.15,102.5,47.75,-459343.8003,931107.9865
-1,-0.22184875,376,11.2,0.51,0.17,105.55,33.48,-843273.1294,-722603.2057
-0.508638306,-0.096910013,661,17.8,0.27,0.16,99.23,33.33,-286234.8832,-777716.7024
-0.214670165,-0.455931956,575,6.1,0.36,0.16,99.1,45.33,-228543.9935,633431.3372
-0.769551079,-0.055517328,885,12.9,0.37,0.12,96.6,39.1,-48898.93481,-105955.9143
-0.408935393,-0.096910013,556,8.6,0.38,0.12,101.8,41.55,-454722.3175,196886.7634
-0.823908741,-1,344,6.6,0.18,0.35,112.67,43.73,-1255952.438,551306.1936
-0.638272164,-1,415,6,0.22,0.33,112.15,44.25,-1206739.831,605098.6217
-1,-0.387216143,347,18.9,0.41,0.12,102.92,29.58,-644501.0501,-1193616.681
-0.124938737,-0.638272164,575,5.3,0.36,0.13,103.45,43.53,-565477.0658,439183.9766
-1,-0.065501549,477,13.9,0.5,0.22,110.5,31.6,-1310834.483,-883223.8544
-0.004364805,-1,370,3.5,0.45,0.19,107.72,50.7,-784000.9194,1310718.383
-0.744727495,-0.397940009,537,16.7,0.32,0.12,101.18,32.97,-461189.1291,-811911.2687
-0.244125144,-0.327902142,870,15.4,0.29,0.15,97.23,36.05,-104892.729,-463984.1168
-1,-1,356,7.3,0.18,0.31,113.08,41.87,-1325903.072,340542.5858
-1,-0.283996656,570,12.2,0.42,0.24,109.12,32,-1180517.237,-855443.1893
-0.508638306,-0.236572006,457,8.8,0.36,0.13,102.33,43.75,-478868.2116,458951.2647
-0.408935393,-1,327,9.5,0.16,0.31,113.25,38.17,-1417926.863,-86264.78635
-0.346787486,-0.387216143,176,13.8,0.25,0.28,111.87,37.1,-1326564.521,-230140.0683
-0.420216403,-0.301029996,345,6.4,0.46,0.14,104.47,45.03,-626884.9291,622268.767
