"","ID","decimalLongitude","decimalLatitude","Log.S.AllGrp","AgrBasMp","WetLndBasMp","Dis2Cost","HII","Slope30mAgg","NDVI","MAT","PrecSea"
"1",1,10.0571607,57.59032701,1.01509168148041,0.002293496,0.015209258,451.7361755,21.19462967,2.780004025,0.466666669,8.4,24
"2",3,10.08032401,57.58100162,1.01942571997643,0.098602511,0,1083.380493,24.66551971,2.634711981,0.623000026,8.400959015,24.08325005
"3",4,10.21615467,56.93746577,1.04014114141464,0.270059854,0.039695442,3449.11377,19.21381378,1.703675032,0.621111095,8.4,21
"4",5,10.22988076,56.93212855,1.0392715215683,0,0.175569907,2400.77002,21.06169319,2.094643116,0.602777779,8.4,20.93105698
"5",6,10.2409176,57.59655267,1.00624698996544,0,0,1252.403931,26.72336197,2.329034328,0.697529435,8.348329163,25
"6",7,10.24668713,55.12991275,0.990271401405334,0.004065626,0.002459773,3836.506836,31.90700531,5.931716919,0.687111139,8.346086121,19.26541138
"7",8,10.24765754,55.12292641,0.987180954217911,0.079970524,0.002473969,2926.041504,43.85709381,4.9750247,0.667777777,8.441112518,19.27163506
"8",9,10.2534055,55.13338649,0.99101328253746,0.004065626,0.002459773,3836.506836,31.90700531,4.537847996,0.687111139,8.346086121,19.26541138
"9",10,10.31710074,55.12083699,0.995027476549149,0.17166239,0.047463946,5027.839844,34.03838348,4.430362225,0.654999971,8.451928711,17.45980835
"10",11,10.3637338,57.62822782,1.01328808069229,0.064583622,0.001982127,2155.096436,8,1.083073974,0.524999976,8.4,24
"11",12,10.36883286,55.13503083,0.995431101322174,0.492344677,0.113903195,7538.697754,35,2.253106356,0.608222246,8.537146759,18
"12",13,10.36894119,55.12918934,0.996614527702331,0.492344677,0.113903195,7538.697754,35,2.424800873,0.631111085,8.537146759,18
"13",14,10.40397373,57.64472818,1.01328779459,0,0.256000012,1931.719971,21,3.800228596,0.406181812,8.360929871,24
"14",15,10.40702263,57.64315915,1.01658399701118,0,0.256000012,2665.134521,21,1.585318446,0.3917647,8.365074158,24
"15",16,10.45161848,55.15152867,0.992186152935028,0.460901737,0.292952597,10814.25391,30,1.972007394,0.622444451,8.5,18
"16",17,10.47165215,56.28731419,0.993532371520996,0.128878608,0.015363457,816.1553955,40.07058334,4.867704868,0.647000015,8.300671387,19
"17",18,10.48020474,56.29155915,0.996523869037628,0.599831164,0.007497467,968.7197266,42.13534164,2.9669137,0.553444445,8.326985168,19
"18",19,10.49976739,55.10115457,0.982745176553726,0.575407207,0.010857214,7215.315918,33.01791,4.340573311,0.60022223,8.393969727,18
"19",20,10.51406821,56.09713964,1.00853562355042,0.144237801,0.169229358,2247.690918,27.99571037,2.886714697,0.525666654,8.416340637,19
"20",21,10.52333815,56.20709099,1.00547825694084,0.0064,0,2247.690918,27.0690155,6.769078732,0.606555581,8.039610291,19.39710426
"21",23,10.53128681,56.19642823,1.00153465867043,0.218264863,0,1250.453247,25.49709892,6.763207912,0.608222246,8.05828476,18.42064476
"22",24,10.56263271,56.2243184,0.994067895412445,0.013466666,0.017000001,1552.436646,25.3713913,5.652258396,0.644333363,8.166139984,17.35395432
"23",25,10.58723175,56.22247706,0.995082813501358,0.175784051,0.052041601,200.8320923,30,2.916965246,0.580222249,8.432485962,18
"24",28,10.89727399,55.74078685,1.01829854846001,0.028863572,0.083591118,275.4219055,15.39824677,5.02832222,0.604228556,8.563201904,19
"25",29,11.20166968,55.7052192,0.975105291604996,0.056760021,0.081716016,3347.268799,18,0.280647784,0.391555548,8.7,19.45008469
"26",30,11.23581744,55.70366333,0.981264859437943,0.270768702,0.173681706,3189.303955,18,1.259155512,0.572555542,8.7,20
"27",31,11.27517684,55.7274892,0.991165870428085,0.001862675,0.020512333,427.7366943,18,1.29650259,0.59977144,8.7,20.81835556
"28",32,11.28307135,55.7360165,0.984030097723007,0,0,392.2420349,26,1.685929298,0.586666644,8.7,21
"29",34,11.43619382,55.82656523,0.980889946222305,0.596421421,0.022315202,1718.894897,16,3.997919798,0.662823558,8.383591461,19.33096695
"30",35,11.48720906,54.75457898,1.01503320932388,0.727926731,0.035194412,8425.884766,43.3411293,1.950110555,0.457555562,8.8,19.79625893
"31",36,11.5345545,55.31595569,1.02187958955765,0.85986805,0.006396036,11568.12695,26,1.83071208,0.566628575,8.404906464,20
"32",37,11.53621444,55.38019601,1.01991691589355,0.498401791,0.002154124,19219.43945,22,2.650125027,0.657999992,8.387572479,18
"33",39,11.54670581,55.37740238,1.0213853597641,0.517326772,0.039395053,18510.07227,15.93582821,3.46619153,0.602941155,8.596292877,18.01644897
"34",40,11.55167321,54.75036513,1.01761251091957,0,0.184464529,7536.019531,28.37314034,3.11135149,0.515555561,8.8,19.98144531
"35",41,11.55493636,54.75928616,1.01283400058746,0.600502312,0.072372243,6683.653809,47,1.083533764,0.466444433,8.8,19
"36",42,11.55686098,55.37993511,1.02353249192238,0.111670181,0.039088,19767.39844,15.82482338,4.450008869,0.660823524,8.480106354,19
"37",43,11.59249883,55.39912891,1.02005262374878,0.346299261,0.069464661,22338.4082,42.40423203,3.390764952,0.64644444,8.4,19.79617691
"38",44,11.59410449,55.38369919,1.02124291062355,0.000100878,0.029120011,20483.63867,22,2.864704132,0.655222237,8.333628082,20
"39",47,11.775974,55.51610493,1.02723264098167,0.151785478,0.003872382,15841.32617,22,3.871232986,0.615777791,8.2,21
"40",48,11.80509545,54.78049188,1.00742110610008,0,0.067029171,1481.891113,42,2.791095495,0.633371413,8.8,18.08323479
